capabilityKey	publicSymbols	executedTests	compilerEvidenceIds	sharedScenarios
common|owner=io.github.codex_agent_labs.codexagent.agent/CodexAuthentication|kind=function|abi=io.github.codex_agent_labs.codexagent.agent/CodexAuthentication.signOut|signOut(){}[0]|return=kotlin/Unit|suspend=true|parameters=[]	CodexAgent.CodexAuthentication.SignOutAsync	csharp.leaf:002	c-header:codex_agent_authentication_sign_out,c-header:codex_agent_operation_result,cabi-fixture:macosArm64Test.io.github.codex_agent_labs.codexagent.capi.CodexAgentCSuspendLifecycleOperationsTest#authenticationSignOutCompletesCanonicalOperation[macosArm64],csharp-il-leaf:002	async-success,parent-child-ownership,value-conversion
common|owner=io.github.codex_agent_labs.codexagent.agent/CodexAuthentication|kind=property|abi=io.github.codex_agent_labs.codexagent.agent/CodexAuthentication.isAuthenticated|{}isAuthenticated[0]|propertyKind=VAL|type=kotlinx.coroutines.flow/StateFlow<INVARIANT:kotlin/Boolean!!>!!	CodexAgent.CodexAuthentication.IsAuthenticated,CodexAgent.CodexAuthentication.ObserveIsAuthenticatedAsync	csharp.leaf:003	c-header:codex_agent_authentication_is_authenticated_get,c-header:codex_agent_authentication_is_authenticated_subscribe,c-header:codex_agent_state_boolean_value,cabi-fixture:macosArm64Test.io.github.codex_agent_labs.codexagent.capi.CodexAgentCAuthenticationFlowsTest#authenticationIsAuthenticatedProjectsCurrentTransitionsAndOwnerTerminal[macosArm64],csharp-il-leaf:003	parent-child-ownership,state-current-value,state-subsequent-value,subscription-cancellation,terminal-delivery,value-conversion
common|owner=io.github.codex_agent_labs.codexagent.agent/CodexAuthentication|kind=property|abi=io.github.codex_agent_labs.codexagent.agent/CodexAuthentication.isAuthenticating|{}isAuthenticating[0]|propertyKind=VAL|type=kotlinx.coroutines.flow/StateFlow<INVARIANT:kotlin/Boolean!!>!!	CodexAgent.CodexAuthentication.IsAuthenticating,CodexAgent.CodexAuthentication.ObserveIsAuthenticatingAsync	csharp.leaf:004	c-header:codex_agent_authentication_is_authenticating_get,c-header:codex_agent_authentication_is_authenticating_subscribe,c-header:codex_agent_state_boolean_value,cabi-fixture:macosArm64Test.io.github.codex_agent_labs.codexagent.capi.CodexAgentCAuthenticationFlowsTest#authenticationIsAuthenticatingProjectsCurrentTransitionsAndOwnerTerminal[macosArm64],csharp-il-leaf:004	parent-child-ownership,state-current-value,state-subsequent-value,subscription-cancellation,terminal-delivery,value-conversion
common|owner=io.github.codex_agent_labs.codexagent.agent/CodexAuthentication|kind=property|abi=io.github.codex_agent_labs.codexagent.agent/CodexAuthentication.state|{}state[0]|propertyKind=VAL|type=kotlinx.coroutines.flow/StateFlow<INVARIANT:io.github.codex_agent_labs.codexagent.agent/AgentAuthenticationState!!>!!	CodexAgent.CodexAuthentication.ObserveStateAsync,CodexAgent.CodexAuthentication.State	csharp.leaf:005	c-header:codex_agent_authentication_state_get,c-header:codex_agent_authentication_state_subscribe,c-header:codex_agent_authentication_state_value,cabi-fixture:macosArm64Test.io.github.codex_agent_labs.codexagent.capi.CodexAgentCAuthenticationFlowsTest#authenticationStateProjectsCurrentTransitionsAndOwnerTerminal[macosArm64],csharp-il-leaf:005	parent-child-ownership,state-current-value,state-subsequent-value,subscription-cancellation,terminal-delivery,value-conversion
common|owner=io.github.codex_agent_labs.codexagent.agent/CodexAuthorizationPurpose|kind=enum-entry|abi=io.github.codex_agent_labs.codexagent.agent/CodexAuthorizationPurpose.CHAT_GPT|null[0]	CodexAgent.CodexAuthorizationPurpose.ChatGpt	csharp.enum.CodexAuthorizationPurpose.ChatGpt	c-header-enum:104	value-conversion
common|owner=io.github.codex_agent_labs.codexagent.agent/CodexAuthorizationPurpose|kind=enum-entry|abi=io.github.codex_agent_labs.codexagent.agent/CodexAuthorizationPurpose.EXTERNAL|null[0]	CodexAgent.CodexAuthorizationPurpose.External	csharp.enum.CodexAuthorizationPurpose.External	c-header-enum:105	value-conversion
common|owner=io.github.codex_agent_labs.codexagent.agent/CodexAuthorizationUrl.Companion|kind=function|abi=io.github.codex_agent_labs.codexagent.agent/CodexAuthorizationUrl.Companion.chatGpt|chatGpt(kotlin.String){}[0]|return=io.github.codex_agent_labs.codexagent.agent/CodexAuthorizationUrl!!|suspend=false|parameters=[REGULAR:kotlin/String!!:default=false:vararg=false]	CodexAgent.CodexAuthorizationUrl.ChatGpt	csharp.function:009	c-header:codex_agent_authorization_url_chat_gpt,c-header:codex_agent_authorization_url_destroy,cabi-fixture:macosArm64Test.io.github.codex_agent_labs.codexagent.capi.CodexAgentCAuthenticationConfigurationValuesTest#authorizationUrlsAndClientInfoPreserveValuesAndRejectCanonicalInvalidInputs[macosArm64]	value-conversion
common|owner=io.github.codex_agent_labs.codexagent.agent/CodexAuthorizationUrl.Companion|kind=function|abi=io.github.codex_agent_labs.codexagent.agent/CodexAuthorizationUrl.Companion.external|external(kotlin.String){}[0]|return=io.github.codex_agent_labs.codexagent.agent/CodexAuthorizationUrl!!|suspend=false|parameters=[REGULAR:kotlin/String!!:default=false:vararg=false]	CodexAgent.CodexAuthorizationUrl.External	csharp.function:010	c-header:codex_agent_authorization_url_destroy,c-header:codex_agent_authorization_url_external,cabi-fixture:macosArm64Test.io.github.codex_agent_labs.codexagent.capi.CodexAgentCAuthenticationConfigurationValuesTest#authorizationUrlsAndClientInfoPreserveValuesAndRejectCanonicalInvalidInputs[macosArm64]	value-conversion
common|owner=io.github.codex_agent_labs.codexagent.agent/CodexAuthorizationUrl|kind=property|abi=io.github.codex_agent_labs.codexagent.agent/CodexAuthorizationUrl.purpose|{}purpose[0]|propertyKind=VAL|type=io.github.codex_agent_labs.codexagent.agent/CodexAuthorizationPurpose!!	CodexAgent.CodexAuthorizationUrl.Purpose	csharp.residual.CodexAuthorizationUrl.Purpose	c-header:codex_agent_authorization_url_purpose,cabi-fixture:macosArm64Test.io.github.codex_agent_labs.codexagent.capi.CodexAgentCAuthenticationConfigurationValuesTest#authorizationUrlsAndClientInfoPreserveValuesAndRejectCanonicalInvalidInputs[macosArm64]	value-conversion
common|owner=io.github.codex_agent_labs.codexagent.agent/CodexAuthorizationUrl|kind=property|abi=io.github.codex_agent_labs.codexagent.agent/CodexAuthorizationUrl.value|{}value[0]|propertyKind=VAL|type=kotlin/String!!	CodexAgent.CodexAuthorizationUrl.Value	csharp.residual.CodexAuthorizationUrl.Value	c-header:codex_agent_authorization_url_value_copy,cabi-fixture:macosArm64Test.io.github.codex_agent_labs.codexagent.capi.CodexAgentCAuthenticationConfigurationValuesTest#authorizationUrlsAndClientInfoPreserveValuesAndRejectCanonicalInvalidInputs[macosArm64]	value-conversion
