capabilityKey	publicSymbols	executedTests	compilerEvidenceIds	sharedScenarios
common|owner=io.github.codex_agent_labs.codexagent.agent/AgentHook|kind=constructor|abi=io.github.codex_agent_labs.codexagent.agent/AgentHook.<init>|<init>(kotlin.String;kotlin.String;kotlin.Boolean;kotlin.String;io.github.codex_agent_labs.codexagent.agent.AgentHookHandler;kotlin.Boolean;kotlin.String;kotlin.String;kotlin.Long;io.github.codex_agent_labs.codexagent.agent.AgentHookTrustStatus;kotlin.String?;kotlin.String?;kotlin.String?;io.github.codex_agent_labs.codexagent.agent.AgentResourceOrigin;kotlin.Boolean){}[0]|return=io.github.codex_agent_labs.codexagent.agent/AgentHook|suspend=false|parameters=[REGULAR:kotlin/String!!:default=false:vararg=false,REGULAR:kotlin/String!!:default=false:vararg=false,REGULAR:kotlin/Boolean!!:default=false:vararg=false,REGULAR:kotlin/String!!:default=false:vararg=false,REGULAR:io.github.codex_agent_labs.codexagent.agent/AgentHookHandler!!:default=false:vararg=false,REGULAR:kotlin/Boolean!!:default=false:vararg=false,REGULAR:kotlin/String!!:default=false:vararg=false,REGULAR:kotlin/String!!:default=false:vararg=false,REGULAR:kotlin/Long!!:default=false:vararg=false,REGULAR:io.github.codex_agent_labs.codexagent.agent/AgentHookTrustStatus!!:default=false:vararg=false,REGULAR:kotlin/String?:default=true:vararg=false,REGULAR:kotlin/String?:default=true:vararg=false,REGULAR:kotlin/String?:default=true:vararg=false,REGULAR:io.github.codex_agent_labs.codexagent.agent/AgentResourceOrigin!!:default=true:vararg=false,REGULAR:kotlin/Boolean!!:default=true:vararg=false]	codex_agent::Hook::new	rust.residual:073	c-header:codex_agent_hook_create,c-header:codex_agent_hook_destroy,cabi-fixture:macosArm64Test.io.github.codex_agent_labs.codexagent.capi.CodexAgentCHookCatalogValuesTest#projectsEveryHookFieldHandlerTrustAndOriginExactly[macosArm64],cabi-fixture:macosArm64Test.io.github.codex_agent_labs.codexagent.capi.CodexAgentCHookCatalogValuesTest#rejectsInvalidHookCatalogInputsAndHandleMisuseExactly[macosArm64]	nullability,value-conversion
common|owner=io.github.codex_agent_labs.codexagent.agent/AgentHook|kind=property|abi=io.github.codex_agent_labs.codexagent.agent/AgentHook.canTrust|{}canTrust[0]|propertyKind=VAL|type=kotlin/Boolean!!	codex_agent::Hook::can_trust	rust.residual:074	c-header:codex_agent_hook_can_trust,cabi-fixture:macosArm64Test.io.github.codex_agent_labs.codexagent.capi.CodexAgentCHookCatalogValuesTest#projectsEveryHookFieldHandlerTrustAndOriginExactly[macosArm64]	value-conversion
common|owner=io.github.codex_agent_labs.codexagent.agent/AgentHook|kind=property|abi=io.github.codex_agent_labs.codexagent.agent/AgentHook.canUninstall|{}canUninstall[0]|propertyKind=VAL|type=kotlin/Boolean!!	codex_agent::Hook::can_uninstall	rust.residual:075	c-header:codex_agent_hook_can_uninstall,cabi-fixture:macosArm64Test.io.github.codex_agent_labs.codexagent.capi.CodexAgentCHookCatalogValuesTest#projectsEveryHookFieldHandlerTrustAndOriginExactly[macosArm64]	value-conversion
common|owner=io.github.codex_agent_labs.codexagent.agent/AgentHook|kind=property|abi=io.github.codex_agent_labs.codexagent.agent/AgentHook.currentHash|{}currentHash[0]|propertyKind=VAL|type=kotlin/String!!	codex_agent::Hook::current_hash	rust.residual:076	c-header:codex_agent_hook_current_hash_copy,cabi-fixture:macosArm64Test.io.github.codex_agent_labs.codexagent.capi.CodexAgentCHookCatalogValuesTest#projectsEveryHookFieldHandlerTrustAndOriginExactly[macosArm64]	value-conversion
common|owner=io.github.codex_agent_labs.codexagent.agent/AgentHook|kind=property|abi=io.github.codex_agent_labs.codexagent.agent/AgentHook.eventName|{}eventName[0]|propertyKind=VAL|type=kotlin/String!!	codex_agent::Hook::event_name	rust.residual:077	c-header:codex_agent_hook_event_name_copy,cabi-fixture:macosArm64Test.io.github.codex_agent_labs.codexagent.capi.CodexAgentCHookCatalogValuesTest#projectsEveryHookFieldHandlerTrustAndOriginExactly[macosArm64]	value-conversion
common|owner=io.github.codex_agent_labs.codexagent.agent/AgentHook|kind=property|abi=io.github.codex_agent_labs.codexagent.agent/AgentHook.handler|{}handler[0]|propertyKind=VAL|type=io.github.codex_agent_labs.codexagent.agent/AgentHookHandler!!	codex_agent::Hook::handler	rust.residual:078	c-header:codex_agent_hook_handler,c-header:codex_agent_hook_handler_agent,c-header:codex_agent_hook_handler_command,c-header:codex_agent_hook_handler_destroy,c-header:codex_agent_hook_handler_from_agent,c-header:codex_agent_hook_handler_from_command,c-header:codex_agent_hook_handler_from_mcp_tool,c-header:codex_agent_hook_handler_from_prompt,c-header:codex_agent_hook_handler_kind,c-header:codex_agent_hook_handler_mcp_tool,c-header:codex_agent_hook_handler_prompt,cabi-fixture:macosArm64Test.io.github.codex_agent_labs.codexagent.capi.CodexAgentCHookCatalogValuesTest#projectsEveryHookFieldHandlerTrustAndOriginExactly[macosArm64]	value-conversion
common|owner=io.github.codex_agent_labs.codexagent.agent/AgentHook|kind=property|abi=io.github.codex_agent_labs.codexagent.agent/AgentHook.isEnabled|{}isEnabled[0]|propertyKind=VAL|type=kotlin/Boolean!!	codex_agent::Hook::is_enabled	rust.residual:079	c-header:codex_agent_hook_is_enabled,cabi-fixture:macosArm64Test.io.github.codex_agent_labs.codexagent.capi.CodexAgentCHookCatalogValuesTest#projectsEveryHookFieldHandlerTrustAndOriginExactly[macosArm64]	value-conversion
common|owner=io.github.codex_agent_labs.codexagent.agent/AgentHook|kind=property|abi=io.github.codex_agent_labs.codexagent.agent/AgentHook.isManaged|{}isManaged[0]|propertyKind=VAL|type=kotlin/Boolean!!	codex_agent::Hook::is_managed	rust.residual:080	c-header:codex_agent_hook_is_managed,cabi-fixture:macosArm64Test.io.github.codex_agent_labs.codexagent.capi.CodexAgentCHookCatalogValuesTest#projectsEveryHookFieldHandlerTrustAndOriginExactly[macosArm64]	value-conversion
common|owner=io.github.codex_agent_labs.codexagent.agent/AgentHook|kind=property|abi=io.github.codex_agent_labs.codexagent.agent/AgentHook.key|{}key[0]|propertyKind=VAL|type=kotlin/String!!	codex_agent::Hook::key	rust.residual:081	c-header:codex_agent_hook_key_copy,cabi-fixture:macosArm64Test.io.github.codex_agent_labs.codexagent.capi.CodexAgentCHookCatalogValuesTest#projectsEveryHookFieldHandlerTrustAndOriginExactly[macosArm64]	value-conversion
common|owner=io.github.codex_agent_labs.codexagent.agent/AgentHook|kind=property|abi=io.github.codex_agent_labs.codexagent.agent/AgentHook.matcher|{}matcher[0]|propertyKind=VAL|type=kotlin/String?	codex_agent::Hook::matcher	rust.residual:082	c-header:codex_agent_hook_has_matcher,c-header:codex_agent_hook_matcher_copy,cabi-fixture:macosArm64Test.io.github.codex_agent_labs.codexagent.capi.CodexAgentCHookCatalogValuesTest#projectsEveryHookFieldHandlerTrustAndOriginExactly[macosArm64]	nullability,value-conversion
